date,grade,lunch,interesting,included,belong,topic
Sep 30th,NA,Lunch 1,Fairly,Neutral,Strongly agree,Discussion
Sep 30th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
Sep 30th,Junior,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
Sep 30th,Junior,Lunch 1,Fairly,Agree,Agree,Discussion
Sep 30th,Senior,Lunch 1,Fairly,Strongly agree,Strongly agree,Discussion
Sep 30th,Sophomore,Lunch 1,Fairly,Agree,Agree,Discussion
Sep 30th,Freshman,Lunch 1,Fairly,Agree,Agree,Discussion
Sep 30th,Freshman,Lunch 1,Somewhat,Agree,Neutral,Discussion
Sep 30th,Sophmore,Lunch 1,Fairly,Strongly agree,Strongly agree,Discussion
Sep 30th,Sophomore,Lunch 1,Fairly,Agree,Agree,Discussion
Sep 30th,Sophomore,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
Sep 30th,NA,Lunch 1,Fairly,Agree,Agree,Discussion
Sep 30th,NA,Lunch 1,Very,Agree,Neutral,Discussion
Sep 30th,NA,Lunch 1,Fairly,Agree,Agree,Discussion
Sep 30th,NA,Lunch 1,Fairly,Agree,Agree,Discussion
Sep 30th,Junior,Lunch 1,Fairly,Agree,Agree,Discussion
Sep 30th,Freshman,Lunch 1,Fairly,Agree,Agree,Discussion
Sep 30th,NA,Lunch 1,Fairly,Agree,Neutral,Discussion
Sep 30th,NA,Lunch 1,Fairly,Agree,Agree,Discussion
Sep 30th,Senior,Lunch 1,Fairly,Strongly agree,Strongly agree,Discussion
Sep 30th,Senior,Lunch 1,Very,Strongly agree,Agree,Discussion
Sep 30th,Senior,Lunch 1,Fairly,Strongly agree,Strongly agree,Discussion
Sep 30th,NA,Lunch 1,Fairly,Agree,Agree,Discussion
Sep 30th,Junior,Lunch 1,Fairly,Agree,Agree,Discussion
Sep 30th,NA,Lunch 1,Fairly,Neutral,Neutral,Discussion
Sep 30th,Senior,Lunch 1,Fairly,Agree,Agree,Discussion
Sep 30th,NA,Lunch 1,Fairly,Agree,Agree,Discussion
Sep 30th,Freshman,Lunch 1,Fairly,Agree,Neutral,Discussion
Sep 30th,NA,Lunch 1,Fairly,Agree,Neutral,Discussion
