lunch,date,survey_type,work_hard,knowledge,courses,career_amount,career_one,career_two,career_three,career_four,career_five,career_six,career_seven,career_eight,career_nine,career_ten,succesful,important,member,career,identity,meaningful,everyday
Lunch 1,Sep 30th,Pre,Agree,Agree,Neutral,7,Doctor,Neuroscientist,Engineer,Psychologist,Chemist,Physicist,Biologist,NA,NA,NA,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Neutral,7,Doctor,Neuroscientist,Engineer,Psychologist,Chemist,Physicist,Biologist,NA,NA,NA,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,6,Engineer,Teacher,Architect,Programmer,Doctor,Vet,NA,NA,NA,NA,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree
Lunch 1,Sep 30th,Pre,Strongly agree,Agree,Agree,2,Engineer,Architect,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,7,Doctor,Architect,Engineer,OB-GYN,Nurse,Surgeon,Physical Therapist,NA,NA,NA,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Neutral,5,Programmer,Engineer,Architect,Researcher,Scientist,NA,NA,NA,NA,NA,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Disagree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,5,OB-GYN,Architect,Engineer,Nurse,Doctor,NA,NA,NA,NA,NA,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,3,Engineer,Software Developer,Astrophysicist,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Neutral,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,3,Astrophysicist,Chemist,Engineer,NA,NA,NA,NA,NA,NA,NA,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,4,Doctor,Surgeon,Researcher,Mathematician,NA,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Lunch 1,Sep 30th,Pre,Strongly agree,Strongly agree,Strongly agree,5,Civil Engineer,Programmer,Doctor,Researcher,Mechanical Engineer,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Lunch 1,Sep 30th,Pre,Strongly agree,Strongly agree,Agree,6,Engineer,Doctor,Math Teacher,Chemist,Scientist,Technician,NA,NA,NA,NA,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Neutral,Neutral,3,Scientist,Chemist,Physicist,NA,NA,NA,NA,NA,NA,NA,Neutral,Agree,NA,Agree,NA,NA,NA
Lunch 1,Sep 30th,Pre,Agree,Neutral,Agree,2,Physicist,Chemist,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,3,Doctor,Chemical Engineer,Programmer,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,NA
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,5,Architect,Civil Engineer,Chemist,Pharmacist,Doctor,NA,NA,NA,NA,NA,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Neutral,Agree,7,Engineer,Mathematician,Software Developer,Programmer,Dentist,Nurse,Architect,NA,NA,NA,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral
Lunch 1,Sep 30th,Pre,Strongly agree,Agree,Strongly agree,1,Aerospace Engineer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree
Lunch 1,Sep 30th,Pre,Strongly agree,Agree,Agree,2,Mathematician,Physicist,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Agree,Strongly agree,6,Scientist,Surgeon,Anesthesiologist,Cardiologist,Engineer,Entrepreneur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lunch 1,Sep 30th,Pre,Agree,Agree,Neutral,6,Engineer,Biologist,Chemist,Physicist,Aerospace Engineer,Neuroscientist,NA,NA,NA,NA,Neutral,Strongly agree,Disagree,Agree,Neutral,Strongly agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,4,Engineer,Mathematician,Scientist,Software Developer,NA,NA,NA,NA,NA,NA,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Agree,Neutral,1,Chemist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Disagree
