RecordedDate,Q1,Q4,Q3,Q5,Q6,Q7,Q2
Recorded Date,Date,Grade,Lunch,Interesting,Included,Belong,Topic
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8_TEXT""}"
2022-11-17 19:57:39,Sep 30th,,Lunch 1,Fairly,Neutral,Strongly agree,Discussion
2022-11-17 19:58:07,Sep 30th,,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
2022-11-17 19:58:49,Sep 30th,Junior,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
2022-11-17 19:59:06,Sep 30th,Junior,Lunch 1,Fairly,Agree,Agree,Discussion
2022-11-17 19:59:20,Sep 30th,Senior,Lunch 1,Fairly,Strongly agree,Strongly agree,Discussion
2022-11-17 19:59:40,Sep 30th,Sophomore,Lunch 1,Fairly,Agree,Agree,Discussion
2022-11-17 20:00:19,Sep 30th,Freshman,Lunch 1,Fairly,Agree,Agree,Discussion
2022-11-17 20:00:49,Sep 30th,Freshman,Lunch 1,Somewhat,Agree,Neutral,Discussion
2022-11-17 20:01:07,Sep 30th,Sophmore,Lunch 1,Fairly,Strongly agree,Strongly agree,Discussion
2022-11-17 20:01:30,Sep 30th,Sophomore,Lunch 1,Fairly,Agree,Agree,Discussion
2022-11-17 20:01:42,Sep 30th,Sophomore,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
2022-11-17 20:01:56,Sep 30th,,Lunch 1,Fairly,Agree,Agree,Discussion
2022-11-17 20:02:07,Sep 30th,,Lunch 1,Very,Agree,Neutral,Discussion
2022-11-17 20:02:17,Sep 30th,,Lunch 1,Fairly,Agree,Agree,Discussion
2022-11-17 20:02:27,Sep 30th,,Lunch 1,Fairly,Agree,Agree,Discussion
2022-11-17 20:02:41,Sep 30th,Junior,Lunch 1,Fairly,Agree,Agree,Discussion
2022-11-17 20:02:54,Sep 30th,Freshman,Lunch 1,Fairly,Agree,Agree,Discussion
2022-11-17 20:03:07,Sep 30th,,Lunch 1,Fairly,Agree,Neutral,Discussion
2022-11-17 20:03:18,Sep 30th,,Lunch 1,Fairly,Agree,Agree,Discussion
2022-11-17 20:03:31,Sep 30th,Senior,Lunch 1,Fairly,Strongly agree,Strongly agree,Discussion
2022-11-17 20:03:44,Sep 30th,Senior,Lunch 1,Very,Strongly agree,Agree,Discussion
2022-11-17 20:03:56,Sep 30th,Senior,Lunch 1,Fairly,Strongly agree,Strongly agree,Discussion
2022-11-17 20:04:05,Sep 30th,,Lunch 1,Fairly,Agree,Agree,Discussion
