Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24
Lunch,Date,Survey_Type,Work_Hard,Knowledge,Courses,Career_Amount,Career_one,Career_two,Career_three,Career_four,Career_five,Career_six,Career_seven,Career_eight,Career_nine,Career_ten,Succesful,Important,Member,Career,Identity,Meaningful,Everyday
"{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID26""}","{""ImportId"":""QID25""}","{""ImportId"":""QID24""}","{""ImportId"":""QID23""}","{""ImportId"":""QID22""}","{""ImportId"":""QID21""}"
Lunch 1,Sep 30th,Pre,Agree,Agree,Neutral,7,Doctor,Neuroscientist,Engineer,Psychologist,Chemist,Physicist,Biologist,,,,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Neutral,7,Doctor,Neuroscientist,Engineer,Psychologist,Chemist,Physicist,Biologist,,,,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,6,Engineer,Teacher,Architect,Programmer,Doctor,Vet,,,,,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree
Lunch 1,Sep 30th,Pre,Strongly agree,Agree,Agree,2,Engineer,Architect,,,,,,,,,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,7,Doctor,Architect,Engineer,OB-GYN,Nurse,Surgeon,Physical Therapist,,,,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Neutral,5,Programmer,Engineer,Architect,Researcher,Scientist,,,,,,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Disagree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,5,OB-GYN,Architect,Engineer,Nurse,Doctor,,,,,,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,3,Engineer,Software Developer,Astrophysicist,,,,,,,,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Neutral,0,,,,,,,,,,,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,3,Astrophysicist,Chemist,Engineer,,,,,,,,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,0,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,4,Doctor,Surgeon,Researcher,Mathematician,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Lunch 1,Sep 30th,Pre,Strongly agree,Strongly agree,Strongly agree,5,Civil Engineer,Programmer,Doctor,Researcher,Mechanical Engineer,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Lunch 1,Sep 30th,Pre,Strongly agree,Strongly agree,Agree,6,Engineer,Doctor,Math Teacher,Chemist,Scientist,Technician,,,,,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Neutral,Neutral,3,Scientist,Chemist,Physicist,,,,,,,,Neutral,Agree,,Agree,,,
Lunch 1,Sep 30th,Pre,Agree,Neutral,Agree,2,Physicist,Chemist,,,,,,,,,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,3,Doctor,Chemical Engineer,Programmer,,,,,,,,,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,5,Architect,Civil Engineer,Chemist,Pharmacist,Doctor,,,,,,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Neutral,Agree,7,Engineer,Mathematician,Software Developer,Programmer,Dentist,Nurse,Architect,,,,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral
Lunch 1,Sep 30th,Pre,Strongly agree,Agree,Strongly agree,1,Aerospace Engineer,,,,,,,,,,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree
Lunch 1,Sep 30th,Pre,Strongly agree,Agree,Agree,2,Mathematician,Physicist,,,,,,,,,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Agree,Strongly agree,6,Scientist,Surgeon,Anesthesiologist,Cardiologist,Engineer,Entrepreneur,,,,,,,,,,,
Lunch 1,Sep 30th,Pre,Agree,Agree,Neutral,6,Engineer,Biologist,Chemist,Physicist,Aerospace Engineer,Neuroscientist,,,,,Neutral,Strongly agree,Disagree,Agree,Neutral,Strongly agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,4,Engineer,Mathematician,Scientist,Software Developer,,,,,,,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Agree,Neutral,1,Chemist,,,,,,,,,,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Disagree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,0,,,,,,,,,,,Agree,Strongly agree,Neutral,Disagree,Agree,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,3,Environmental Engineer,Math Teacher,Researcher,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Strongly agree,Neutral,0,,,,,,,,,,,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,5,Engineer,Doctor,Chemist,Biologist,Math Teacher,,,,,,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,4,Doctor,Engineer,Mathematician,Biologist,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,5,Doctor,Surgeon,Researcher,Biologist,Environmental Engineer,,,,,,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
Lunch 2,Sep 30th,Pre,Strongly agree,Agree,Agree,9,Scientist,Mechanical Engineer,Construction Worker,Doctor,Nurse,Astronaut,Chemist,Physicist,Psychologist,,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Strongly agree,Strongly agree,Agree,10,Mechanical Engineer,Doctor,Chemical Engineer,Biomedical Engineer,Construction Worker,Industrial Engineer,Mathematician,Psychologist,Physicist,Mechanic,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,10,Doctor,Physical Therapist,Psychiatrist,Chemical Engineer,Biologist,Scientist,Environmental Engineer,Astronomer,Mathematician,Aerospace Engineer,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral
Lunch 2,Sep 30th,Pre,Agree,Strongly agree,Agree,3,Mechanical Engineer,Software Engineer,Environmentalist,,,,,,,,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Agree
